group,client_id,click_flg
test,1,1
test,2,0
test,3,0
test,4,1
test,5,1
test,6,0
test,7,0
test,8,0
test,9,1
test,10,0
test,11,0
test,12,0
test,13,1
test,14,1
test,15,0
test,16,1
test,17,0
test,18,0
test,19,0
test,20,0
test,21,0
test,22,0
test,23,0
test,24,0
test,25,1
test,26,1
test,27,1
test,28,1
test,29,0
test,30,1
test,31,1
test,32,0
test,33,0
test,34,0
test,35,0
test,36,0
test,37,0
test,38,0
test,39,0
test,40,0
test,41,0
test,42,1
test,43,1
test,44,0
test,45,0
test,46,0
test,47,0
test,48,0
test,49,0
test,50,0
test,51,0
test,52,1
test,53,0
test,54,1
test,55,1
test,56,1
test,57,0
test,58,0
test,59,0
test,60,0
test,61,0
test,62,0
test,63,0
test,64,0
test,65,0
test,66,0
test,67,0
test,68,0
test,69,0
test,70,0
test,71,1
test,72,0
test,73,0
test,74,0
test,75,0
test,76,0
test,77,0
test,78,0
test,79,0
test,80,0
test,81,1
test,82,1
test,83,0
test,84,0
test,85,0
test,86,0
test,87,1
test,88,0
test,89,0
test,90,0
test,91,0
test,92,0
test,93,0
test,94,1
test,95,0
test,96,1
test,97,0
test,98,0
test,99,1
test,100,0
test,101,1
test,102,0
test,103,0
test,104,0
test,105,0
test,106,0
test,107,0
test,108,0
test,109,1
test,110,1
test,111,0
test,112,0
test,113,0
test,114,1
test,115,0
test,116,0
test,117,0
test,118,0
test,119,0
test,120,0
test,121,0
test,122,1
test,123,0
test,124,0
test,125,1
test,126,0
test,127,0
test,128,0
test,129,0
test,130,0
test,131,0
test,132,0
test,133,0
test,134,1
test,135,0
test,136,0
test,137,1
test,138,0
test,139,1
test,140,0
test,141,0
test,142,0
test,143,0
test,144,0
test,145,1
test,146,0
test,147,0
test,148,0
test,149,0
test,150,0
test,151,1
test,152,0
test,153,1
test,154,0
test,155,0
test,156,0
test,157,0
test,158,1
test,159,0
test,160,0
test,161,0
test,162,1
test,163,0
test,164,1
test,165,0
test,166,1
test,167,0
test,168,1
test,169,0
test,170,0
test,171,0
test,172,0
test,173,0
test,174,0
test,175,0
test,176,1
test,177,1
test,178,0
test,179,0
test,180,0
test,181,1
test,182,0
test,183,1
test,184,1
test,185,0
test,186,0
test,187,1
test,188,0
test,189,1
test,190,1
test,191,0
test,192,0
test,193,1
test,194,0
test,195,1
test,196,1
test,197,1
test,198,0
test,199,0
test,200,0
test,201,0
test,202,0
test,203,0
test,204,0
test,205,1
test,206,0
test,207,0
test,208,0
test,209,0
test,210,0
test,211,0
test,212,0
test,213,0
test,214,1
test,215,1
test,216,1
test,217,1
test,218,0
test,219,0
test,220,0
test,221,0
test,222,1
test,223,0
test,224,0
test,225,0
test,226,0
test,227,0
test,228,0
test,229,0
test,230,0
test,231,0
test,232,1
test,233,0
test,234,0
test,235,1
test,236,0
test,237,0
test,238,1
test,239,0
test,240,1
test,241,0
test,242,0
test,243,0
test,244,0
test,245,0
test,246,0
test,247,0
test,248,0
test,249,0
test,250,1
test,251,0
test,252,0
test,253,0
test,254,1
test,255,0
test,256,1
test,257,0
test,258,0
test,259,0
test,260,1
test,261,0
test,262,0
test,263,1
test,264,1
test,265,0
test,266,1
test,267,1
test,268,0
test,269,0
test,270,0
test,271,1
test,272,0
test,273,0
test,274,0
test,275,1
test,276,0
test,277,0
test,278,0
test,279,1
test,280,1
test,281,0
test,282,1
test,283,0
test,284,1
test,285,1
test,286,1
test,287,0
test,288,0
test,289,0
test,290,1
test,291,1
test,292,1
test,293,1
test,294,0
test,295,0
test,296,0
test,297,0
test,298,1
test,299,0
test,300,1
test,301,0
test,302,1
test,303,1
test,304,1
test,305,0
test,306,0
test,307,1
test,308,1
test,309,0
test,310,1
test,311,0
test,312,1
test,313,1
test,314,0
test,315,0
test,316,0
test,317,1
test,318,0
test,319,0
test,320,0
test,321,0
test,322,0
test,323,1
test,324,0
test,325,0
test,326,0
test,327,0
test,328,1
test,329,1
test,330,0
test,331,1
test,332,0
test,333,0
test,334,0
test,335,0
test,336,1
test,337,0
test,338,1
test,339,0
test,340,0
test,341,0
test,342,0
test,343,1
test,344,0
test,345,0
test,346,0
test,347,0
test,348,0
test,349,0
test,350,0
test,351,0
test,352,1
test,353,0
test,354,0
test,355,0
test,356,1
test,357,1
test,358,1
test,359,0
test,360,0
test,361,0
test,362,0
test,363,0
test,364,0
test,365,0
test,366,0
test,367,0
test,368,0
test,369,1
test,370,0
test,371,0
test,372,0
test,373,0
test,374,1
test,375,0
test,376,0
test,377,1
test,378,1
test,379,0
test,380,1
test,381,0
test,382,1
test,383,1
test,384,1
test,385,0
test,386,0
test,387,1
test,388,0
test,389,0
test,390,0
test,391,1
test,392,0
test,393,0
test,394,1
test,395,0
test,396,1
test,397,0
test,398,0
test,399,0
test,400,1
test,401,0
test,402,0
test,403,0
test,404,0
test,405,0
test,406,0
test,407,0
test,408,0
test,409,0
test,410,0
test,411,0
test,412,0
test,413,0
test,414,1
test,415,0
test,416,1
test,417,0
test,418,0
test,419,1
test,420,0
test,421,0
test,422,1
test,423,0
test,424,1
test,425,0
test,426,0
test,427,0
test,428,1
test,429,0
test,430,1
test,431,1
test,432,1
test,433,1
test,434,0
test,435,0
test,436,0
test,437,0
test,438,1
test,439,1
test,440,0
test,441,0
test,442,0
test,443,0
test,444,1
test,445,0
test,446,0
test,447,1
test,448,1
test,449,0
test,450,0
test,451,0
test,452,0
test,453,0
test,454,0
test,455,0
test,456,0
test,457,0
test,458,0
test,459,1
test,460,0
test,461,0
test,462,0
test,463,0
test,464,1
test,465,1
test,466,0
test,467,0
test,468,1
test,469,0
test,470,0
test,471,0
test,472,0
test,473,0
test,474,1
test,475,0
test,476,0
test,477,0
test,478,0
test,479,0
test,480,0
test,481,0
test,482,0
test,483,0
test,484,0
test,485,1
test,486,0
test,487,0
test,488,0
test,489,1
test,490,1
test,491,0
test,492,0
test,493,1
test,494,0
test,495,0
test,496,1
test,497,0
test,498,1
test,499,0
test,500,0
test,501,1
test,502,1
test,503,0
test,504,0
test,505,1
test,506,0
test,507,0
test,508,0
test,509,0
test,510,0
test,511,0
test,512,0
test,513,1
test,514,1
test,515,0
test,516,0
test,517,0
test,518,0
test,519,0
test,520,0
test,521,0
test,522,0
test,523,0
test,524,0
test,525,0
test,526,0
test,527,0
test,528,1
test,529,1
test,530,0
test,531,0
test,532,1
test,533,0
test,534,1
test,535,0
test,536,0
test,537,0
test,538,1
test,539,0
test,540,0
test,541,0
test,542,1
test,543,0
test,544,1
test,545,0
test,546,0
test,547,1
test,548,1
test,549,0
test,550,0
test,551,1
test,552,0
test,553,0
test,554,0
test,555,0
test,556,1
test,557,0
test,558,0
test,559,0
test,560,0
test,561,0
test,562,1
test,563,0
test,564,0
test,565,1
test,566,0
test,567,0
test,568,0
test,569,0
test,570,0
test,571,0
test,572,0
test,573,0
test,574,1
test,575,0
test,576,1
test,577,0
test,578,0
test,579,0
test,580,0
test,581,1
test,582,1
test,583,0
test,584,0
test,585,0
test,586,1
test,587,0
test,588,0
test,589,0
test,590,1
test,591,0
test,592,0
test,593,0
test,594,0
test,595,1
test,596,0
test,597,0
test,598,0
test,599,0
test,600,1
test,601,1
test,602,0
test,603,1
test,604,0
test,605,0
test,606,1
test,607,0
test,608,0
test,609,0
test,610,0
test,611,0
test,612,0
test,613,0
test,614,0
test,615,0
test,616,1
test,617,0
test,618,1
test,619,1
test,620,1
test,621,0
test,622,1
test,623,0
test,624,0
test,625,0
test,626,1
test,627,0
test,628,1
test,629,0
test,630,0
test,631,0
test,632,1
test,633,0
test,634,0
test,635,0
test,636,0
test,637,0
test,638,0
test,639,0
test,640,1
test,641,0
test,642,1
test,643,1
test,644,1
test,645,0
test,646,1
test,647,0
test,648,1
test,649,0
test,650,0
test,651,1
test,652,0
test,653,1
test,654,0
test,655,0
test,656,1
test,657,1
test,658,0
test,659,0
test,660,1
test,661,1
test,662,1
test,663,1
test,664,0
test,665,0
test,666,0
test,667,0
test,668,0
test,669,0
test,670,0
test,671,0
test,672,0
test,673,1
test,674,0
test,675,0
test,676,1
test,677,1
test,678,0
test,679,0
test,680,0
test,681,1
test,682,1
test,683,0
test,684,0
test,685,0
test,686,0
test,687,0
test,688,1
test,689,0
test,690,0
test,691,1
test,692,1
test,693,0
test,694,0
test,695,0
test,696,0
test,697,0
test,698,1
test,699,0
test,700,0
test,701,0
test,702,0
test,703,0
test,704,0
test,705,0
test,706,0
test,707,0
test,708,1
test,709,0
test,710,0
test,711,0
test,712,0
test,713,1
test,714,0
test,715,0
test,716,0
test,717,0
test,718,1
test,719,1
test,720,0
test,721,0
test,722,0
test,723,0
test,724,0
test,725,0
test,726,0
test,727,0
test,728,1
test,729,1
test,730,1
test,731,0
test,732,0
test,733,0
test,734,0
test,735,1
test,736,0
test,737,0
test,738,1
test,739,0
test,740,0
test,741,0
test,742,0
test,743,0
test,744,0
test,745,1
test,746,0
test,747,0
test,748,0
test,749,0
test,750,0
test,751,0
test,752,1
test,753,1
test,754,0
test,755,0
test,756,1
test,757,0
test,758,1
test,759,0
test,760,0
test,761,0
test,762,1
test,763,1
test,764,1
test,765,0
test,766,0
test,767,1
test,768,0
test,769,1
test,770,1
test,771,0
test,772,0
test,773,0
test,774,0
test,775,0
test,776,1
test,777,0
test,778,0
test,779,0
test,780,0
test,781,0
test,782,0
test,783,0
test,784,1
test,785,0
test,786,0
test,787,0
test,788,1
test,789,0
test,790,0
test,791,1
test,792,0
test,793,0
test,794,0
test,795,0
test,796,0
test,797,0
test,798,1
test,799,1
test,800,0
test,801,0
test,802,1
test,803,0
test,804,0
test,805,1
test,806,0
test,807,0
test,808,0
test,809,0
test,810,0
test,811,0
test,812,0
test,813,0
test,814,0
test,815,0
test,816,1
test,817,0
test,818,0
test,819,0
test,820,1
test,821,0
test,822,1
test,823,1
test,824,0
test,825,0
test,826,0
test,827,0
test,828,0
test,829,0
test,830,0
test,831,0
test,832,0
test,833,1
test,834,1
test,835,0
test,836,1
test,837,0
test,838,1
test,839,0
test,840,1
test,841,0
test,842,1
test,843,0
test,844,0
test,845,1
test,846,0
test,847,1
test,848,0
test,849,0
test,850,1
test,851,0
test,852,0
test,853,1
test,854,0
test,855,0
test,856,0
test,857,0
test,858,0
test,859,0
test,860,0
test,861,0
test,862,1
test,863,1
test,864,1
test,865,0
test,866,0
test,867,0
test,868,0
test,869,0
test,870,0
test,871,1
test,872,0
test,873,0
test,874,1
test,875,0
test,876,0
test,877,0
test,878,0
test,879,1
test,880,0
test,881,0
test,882,0
test,883,1
test,884,1
test,885,1
test,886,0
test,887,0
test,888,0
test,889,0
test,890,1
test,891,0
test,892,1
test,893,0
test,894,0
test,895,0
test,896,0
test,897,1
test,898,0
test,899,0
test,900,0
test,901,0
test,902,0
test,903,0
test,904,0
test,905,0
test,906,0
test,907,0
test,908,0
test,909,0
test,910,0
test,911,1
test,912,0
test,913,0
test,914,0
test,915,0
test,916,0
test,917,1
test,918,0
test,919,1
test,920,0
test,921,0
test,922,0
test,923,0
test,924,0
test,925,1
test,926,1
test,927,0
test,928,0
test,929,0
test,930,0
test,931,0
test,932,0
test,933,0
test,934,0
test,935,0
test,936,1
test,937,0
test,938,0
test,939,1
test,940,1
test,941,0
test,942,1
test,943,0
test,944,0
test,945,1
test,946,0
test,947,1
test,948,0
test,949,1
test,950,0
test,951,0
test,952,0
test,953,0
test,954,0
test,955,0
test,956,1
test,957,1
test,958,0
test,959,0
test,960,1
test,961,0
test,962,1
test,963,1
test,964,0
test,965,0
test,966,0
test,967,0
test,968,0
test,969,0
test,970,0
test,971,1
test,972,0
test,973,0
test,974,1
test,975,0
test,976,0
test,977,0
test,978,0
test,979,0
test,980,0
test,981,1
test,982,1
test,983,0
test,984,0
test,985,1
test,986,0
test,987,0
test,988,0
test,989,0
test,990,0
test,991,1
test,992,0
test,993,1
test,994,0
test,995,0
test,996,1
test,997,0
test,998,0
test,999,1
test,1000,0
test,1001,0
test,1002,0
test,1003,0
test,1004,1
test,1005,1
test,1006,1
test,1007,0
test,1008,0
test,1009,1
test,1010,0
test,1011,0
test,1012,0
test,1013,0
test,1014,0
test,1015,0
test,1016,0
test,1017,0
test,1018,1
test,1019,0
test,1020,0
test,1021,0
test,1022,0
test,1023,1
test,1024,0
test,1025,0
test,1026,0
test,1027,0
test,1028,1
test,1029,0
test,1030,0
test,1031,0
test,1032,0
test,1033,0
test,1034,0
test,1035,1
test,1036,1
test,1037,1
test,1038,0
test,1039,0
test,1040,0
test,1041,0
test,1042,0
test,1043,0
test,1044,0
test,1045,0
test,1046,1
test,1047,0
test,1048,0
test,1049,0
test,1050,1
test,1051,0
test,1052,0
test,1053,1
test,1054,0
test,1055,0
test,1056,0
test,1057,1
test,1058,0
test,1059,1
test,1060,0
test,1061,1
test,1062,0
test,1063,1
test,1064,0
test,1065,1
test,1066,0
test,1067,0
test,1068,0
test,1069,1
test,1070,0
test,1071,1
test,1072,0
test,1073,0
test,1074,0
test,1075,0
test,1076,0
test,1077,1
test,1078,0
test,1079,0
test,1080,0
test,1081,0
test,1082,1
test,1083,1
test,1084,1
test,1085,0
test,1086,0
test,1087,0
test,1088,0
test,1089,0
test,1090,0
test,1091,1
test,1092,0
test,1093,1
test,1094,0
test,1095,1
test,1096,0
test,1097,0
test,1098,1
test,1099,1
test,1100,0
test,1101,0
test,1102,0
test,1103,0
test,1104,0
test,1105,0
test,1106,1
test,1107,0
test,1108,0
test,1109,1
test,1110,0
test,1111,0
test,1112,0
test,1113,1
test,1114,0
test,1115,0
test,1116,0
test,1117,1
test,1118,0
test,1119,0
test,1120,0
test,1121,0
test,1122,0
test,1123,0
test,1124,1
test,1125,0
test,1126,0
test,1127,1
test,1128,0
test,1129,1
test,1130,0
test,1131,0
test,1132,0
test,1133,0
test,1134,0
test,1135,0
test,1136,0
test,1137,0
test,1138,1
test,1139,0
test,1140,1
test,1141,1
test,1142,0
test,1143,1
test,1144,0
test,1145,0
test,1146,0
test,1147,0
test,1148,0
test,1149,0
test,1150,0
test,1151,0
test,1152,1
test,1153,1
test,1154,0
test,1155,1
test,1156,0
test,1157,1
test,1158,0
test,1159,0
test,1160,0
test,1161,0
test,1162,0
test,1163,0
test,1164,1
test,1165,0
test,1166,1
test,1167,1
test,1168,0
test,1169,0
test,1170,1
test,1171,0
test,1172,0
test,1173,1
test,1174,1
test,1175,0
test,1176,0
test,1177,1
test,1178,0
test,1179,1
test,1180,0
test,1181,1
test,1182,1
test,1183,0
test,1184,0
test,1185,0
test,1186,0
test,1187,0
test,1188,0
test,1189,1
test,1190,0
test,1191,0
test,1192,1
test,1193,0
test,1194,1
test,1195,0
test,1196,1
test,1197,0
test,1198,1
test,1199,1
test,1200,0
test,1201,1
test,1202,1
test,1203,0
test,1204,1
test,1205,0
test,1206,1
test,1207,0
test,1208,1
test,1209,1
test,1210,1
test,1211,1
test,1212,0
test,1213,0
test,1214,0
test,1215,0
test,1216,1
test,1217,0
test,1218,0
test,1219,0
test,1220,0
test,1221,1
test,1222,0
test,1223,0
test,1224,0
test,1225,0
test,1226,0
test,1227,0
test,1228,1
test,1229,0
test,1230,0
test,1231,0
test,1232,0
test,1233,0
test,1234,1
test,1235,0
test,1236,1
test,1237,1
test,1238,0
test,1239,1
test,1240,0
test,1241,0
test,1242,0
test,1243,0
test,1244,0
test,1245,1
test,1246,1
test,1247,1
test,1248,0
test,1249,1
test,1250,1
test,1251,0
test,1252,0
test,1253,0
test,1254,0
test,1255,0
test,1256,1
test,1257,0
test,1258,0
test,1259,0
test,1260,1
test,1261,0
test,1262,1
test,1263,0
test,1264,0
test,1265,1
test,1266,0
test,1267,1
test,1268,1
test,1269,0
test,1270,0
test,1271,0
test,1272,0
test,1273,0
test,1274,0
test,1275,0
test,1276,1
test,1277,1
test,1278,0
test,1279,1
test,1280,0
test,1281,1
test,1282,0
test,1283,0
test,1284,0
test,1285,0
test,1286,0
test,1287,0
test,1288,0
test,1289,0
test,1290,0
test,1291,0
test,1292,0
test,1293,0
test,1294,1
test,1295,0
test,1296,0
test,1297,1
test,1298,1
test,1299,0
test,1300,0
test,1301,0
test,1302,1
test,1303,0
test,1304,0
test,1305,0
test,1306,0
test,1307,0
test,1308,0
test,1309,0
test,1310,0
test,1311,1
test,1312,1
test,1313,0
test,1314,0
test,1315,0
test,1316,0
test,1317,0
test,1318,0
test,1319,1
test,1320,0
test,1321,0
test,1322,0
test,1323,0
test,1324,0
test,1325,0
test,1326,0
test,1327,0
test,1328,0
test,1329,1
test,1330,0
test,1331,0
test,1332,0
test,1333,0
test,1334,0
test,1335,0
test,1336,0
test,1337,0
test,1338,1
test,1339,1
test,1340,0
test,1341,1
test,1342,0
test,1343,1
test,1344,0
test,1345,0
test,1346,1
test,1347,0
test,1348,0
test,1349,0
test,1350,0
test,1351,0
test,1352,0
test,1353,0
test,1354,0
test,1355,1
test,1356,0
test,1357,1
test,1358,1
test,1359,0
test,1360,1
test,1361,0
test,1362,1
test,1363,0
test,1364,0
test,1365,0
test,1366,1
test,1367,1
test,1368,0
test,1369,0
test,1370,0
test,1371,1
test,1372,0
test,1373,0
test,1374,0
test,1375,0
test,1376,0
test,1377,0
test,1378,0
test,1379,1
test,1380,0
test,1381,1
test,1382,0
test,1383,0
test,1384,0
test,1385,1
test,1386,1
test,1387,0
test,1388,0
test,1389,0
test,1390,1
test,1391,1
test,1392,0
test,1393,0
test,1394,0
test,1395,0
test,1396,0
test,1397,0
test,1398,1
test,1399,1
test,1400,0
test,1401,0
test,1402,0
test,1403,0
test,1404,0
test,1405,1
test,1406,0
test,1407,1
test,1408,0
test,1409,1
test,1410,0
test,1411,1
test,1412,0
test,1413,0
test,1414,0
test,1415,0
test,1416,0
test,1417,0
test,1418,0
test,1419,0
test,1420,0
test,1421,0
test,1422,0
test,1423,0
test,1424,0
test,1425,0
test,1426,0
test,1427,1
test,1428,0
test,1429,0
test,1430,0
test,1431,1
test,1432,0
test,1433,0
test,1434,0
test,1435,0
test,1436,1
test,1437,0
test,1438,1
test,1439,0
test,1440,0
test,1441,1
test,1442,0
test,1443,0
test,1444,0
test,1445,0
test,1446,1
test,1447,0
test,1448,1
test,1449,0
test,1450,0
test,1451,1
test,1452,0
test,1453,1
test,1454,0
test,1455,0
test,1456,0
test,1457,1
test,1458,0
test,1459,1
test,1460,0
test,1461,0
test,1462,0
test,1463,1
test,1464,1
test,1465,0
test,1466,0
test,1467,1
test,1468,0
test,1469,0
test,1470,0
test,1471,0
test,1472,1
test,1473,0
test,1474,1
test,1475,1
test,1476,1
test,1477,0
test,1478,0
test,1479,0
test,1480,1
test,1481,0
test,1482,1
test,1483,0
